År,Månad,Företag,M,L,C,KD,S,V,MP,FI,PP,SD,Övriga,Osäkra,Publicerad,Intervjuperiod,Intervjuer
2015,Februari,Novus,23.4,4,5.9,4.6,30.9,7,6.1,2.2,,15,3.1,6.1,26-Feb,26 jan - 22 feb,2000
2015,Februari,Sentio,23.1,4.8,5.9,3.7,28.5,5.9,7.2,2.2,1.1,16.6,4.3,14,20-Feb,12 - 18 feb,1046
2015,Februari,Aftonbladet,24.3,3.9,7.2,5.3,30.3,5.6,5.8,,,14.8,3,,16-Feb,2 - 11 feb,1974
2015,Februari,Sifo,22.1,5.2,7,4.7,28.9,7.2,7.9,2.7,,13,4,13.4,15-Feb,2 - 12 feb,1921
2015,Februari,YouGov,21.8,4.4,6.7,3.5,30.1,5.8,6.3,2,,19,2.5,,11-Feb,5 - 9 feb,1531
2015,Februari,Demoskop,24.3,4.5,5.8,4.7,30.6,6.5,6.9,2.2,,14,2.7,10.7,06-Feb,27 jan - 4 feb,1255
,,,,,,,,,,,,,,,,,
2015,Januari,Ipsos,23.2,6.2,5,3.8,34.3,5.8,6.3,1.5,,13.1,2.3,11.8,31-Jan,12 - 26 jan,1202
2015,Januari,Sifo,24,5.1,5.8,3.7,29.7,6.9,7.4,3.1,,13.3,4.2,12.1,25-Jan,12 - 22 jan,1939
2015,Januari,Novus,24.1,4.1,6,4.5,30,5.3,6.4,2.2,,16.5,3.1,8.1,22-Jan,22 dec - 18 jan,2007
2015,Januari,Aftonbladet,24.8,3.5,6.1,4.9,33,5.4,5.5,,,13.6,3.4,,19-Jan,7 - 16 jan,2065
2015,Januari,Sentio,23.7,4.8,5.4,3.9,29.7,7,5.6,,,15.8,4.1,,15-Jan,8 - 13 jan,1040
2015,Januari,Sifo,23.1,5,6.7,3.4,33.3,5.6,6.7,1.7,,13.4,2.8,11.9,11-Jan,7 - 8 jan,1075
2015,Januari,Demoskop,24.4,4.8,5.3,4.1,32.3,5.3,6.6,2.1,,14.4,2.8,10.5,10-Jan,30 dec - 7 jan,1254
,,,,,,,,,,,,,,,,,
2014,December,YouGov,23.2,3.7,5.7,5.5,30.6,6,5.7,2,,16.9,2.7,,29-Dec,19 - 27 dec,1508
2014,December,Inizio,27.9,4.2,6.6,4.2,30.5,4.1,6.1,,,13.2,3.2,,22-Dec,11 - 17 dec,1329
2014,December,Sifo,24.5,5.7,6.1,3.7,31,5.9,7.4,2.4,,12.9,2.9,13.1,21-Dec,8 - 18 dec,1929
2014,December,Ipsos,26.3,5.6,5.1,3.9,32,5.4,6.7,1.5,,12.5,2.5,11.7,18-Dec,8 - 15 dec,1403
2014,December,Novus,23.7,4.3,6.6,3.9,32,5.3,6,1.1,,16,2.2,8.5,16-Dec,3 - 14 dec,1786
2014,December,Inizio,26.9,4.8,7.4,4.3,31,4.2,5.8,,,14,1.6,,11-Dec,4 - 10 dec,1574
2014,December,Sentio,24.5,3.7,5.5,3.9,29.7,5.1,7.2,,,17.5,2.9,16.3,11-Dec,4 - 10 dec,1043
2014,December,YouGov,23.1,5,5.7,4.2,29.6,4.7,6.9,2.5,,17.7,3.2,,06-Dec,4 - 5 dec,1010
2014,December,Demoskop,26.1,5.5,6.1,4,27.3,6.4,7.9,2.3,,13.5,3.1,10.5,05-Dec,25 nov - 3 dec,1250
2014,December,Inizio,24.5,6.1,6.3,3.7,29.8,6.2,7.5,2.9,,12,3.6,,04-Dec,17 nov - 2 dec,2768
2014,December,Sentio,23.9,6.2,6.2,2.3,27.4,7.4,7.5,,,16.4,2.7,,02-Dec,25 - 30 nov,1045
2014,December,SCB,24.2,5.3,6,3.7,32.2,5.7,7.2,,,12.4,3.2,11,01-Dec,29 okt - 25 nov,5072
,,,,,,,,,,,,,,,,,
2014,November,Ipsos,26.5,6.4,6.2,2.8,28.5,6.2,7.4,2.4,,12.5,3.4,12.7,29-Nov,13 - 24 nov,1587
2014,November,Skop,25.3,5.3,6.8,4.2,30.7,6.4,6.7,1.9,,11.8,2.7,5,27-Nov,4 - 24 nov,1020
2014,November,Sifo,25.6,5.5,6.1,3.9,28.4,5.9,8.4,2.8,,12.1,4.1,11.6,23-Nov,10 - 20 nov,1932
2014,November,Novus,25.8,5.2,7.1,4,28.6,6.3,7.9,2.2,,12.3,2.8,6.1,13-Nov,13 okt - 9 nov,2009
2014,November,Demoskop,25.1,4.8,6.2,4.2,28.3,7.1,7,2.6,,13.8,3.6,10.6,08-Nov,28 okt - 5 nov,1250
2014,November,Inizio,24,5.6,5.9,4.2,30.6,5.9,7.3,,,12.9,3.7,7.9,03-Nov,15 - 30 okt,2742
,,,,,,,,,,,,,,,,,
2014,Oktober,Ipsos,24.1,5.5,5.8,3.9,30.7,6.2,7.9,2.5,,12.5,3.5,11.9,30 okt,9 - 21 okt,2003
2014,Oktober,Sifo,24.7,4.9,6.1,4.5,26.6,7.1,10,3,,12.4,3.9,10.8,19 okt,6 - 16 okt,1921
